"ID","제목","유형","기간","기여도","핵심성과","사용툴","영상","이미지","문서","공개URL","포폴반영","포폴등급","썸네일","","","","","","","","","","","",""
"P001","금융 콘텐츠 / 보험 안내 페이지","웹","","","복잡한 금융 정보를 행동 가능한 콘텐츠로 구조화","Figma / HTML / AI","","","","","후보","S","","","","","","","","","","","","",""
"P002","LiveGuard CES 2027 혁신상 홍보영상","영상","26.08","100%","기술 스펙을 Apple-style AI 영상 경험으로 번역","GPT / Seedance / Capcut / Figma / Aftereffect","https://drive.google.com/file/d/12jGlH7UocEE36Nwa7xasmXFjHsSRss5g/view?usp=drive_link","","","","YES","S","https://drive.google.com/file/d/1BHGCLyHX-4ziQFoYXZ8R1PY3SXpaG6Lo/view?usp=drive_link","","","","","","","","","","","",""
"P003","효성 파트너 컨퍼런스용 솔루션 영상","영상","2026.09","100%","다양한 솔루션 시나리오를 한 번 영상으로 압축","GPT / Seedance / Capcut / Cling","https://drive.google.com/file/d/1UD31o125z6YPvU_6LKyxk5ImV4H_S8y5/view?usp=drive_link","","","","YES","S","https://drive.google.com/file/d/1KYGX053Qu_6mrrzDaqASf-xFYXeSqsIP/view?usp=drive_link","","","","","","","","","","","",""
"P005","LiveGuard 인터랙티브 웹","인터랙티브","2026.08~","100%","콘텐츠 기획을 실제 인터랙티브 웹 구현까지 연결","HTML / CSS / JavaScript / GLB / Claude / GPT","","","https://unionbiometrics.com/ces2027/ubio-x-liveguard/","","YES","S","","","","","","","","","","","","",""
"P006","PetID 인터랙티브 웹","웹","2026.07~","100%","브랜드 스토리를 웹 인터랙션으로 확장","HTML / CSS / JavaScript / Claude / GPT","","","https://unionbiometrics.com/ces2027/ubio-petid/","","YES","A","","","","","","","","","","","","",""
"P006","HeartID 인터랙티브 웹","웹","2026.07~","100%","브랜드 스토리를 웹 인터랙션으로 확장","HTML / CSS / JavaScript / Claude / GPT","","","https://unionbiometrics.com/ces2027/ubio-heartid/","","YES","A","","","","","","","","","","","","",""
"P007","INTERSEC 2026 전시 마케팅","전시/이벤트","2026","","전시 콘텐츠를 실제 파트너 미팅 성과로 연결","PPT / Adobe / AI","","","","","후보","A","","","","","","","","","","","","",""
"P008","B2B 브로슈어·백서·뉴스레터 콘텐츠","브로슈어/백서","2023~2026","","기술 메시지를 채널별 콘텐츠 자산으로 재구성","PPT / Word / Adobe / AI","","","","","후보","A","","","","","","","","","","","","",""
"P009","SK쉴더스 4컷 콘텐츠","콘텐츠","","","어려운 메시지를 짧은 스토리로 바꾼 콘텐츠","Figma / Adobe / AI","","","","","후보","B","","","","","","","","","","","","",""
"P010","AI 콘텐츠 제작 프로세스 혁신","콘텐츠","2026","","AI를 툴이 아니라 반복 가능한 업무 프로세스로 내재화","GPT / Gemini / AI Video / Figma / Premiere","","","","","YES","S","","","","","","","","","","","","",""
"P011","농협 제안 콘텐츠 지원","콘텐츠","","","콘텐츠를 영업·제안 설득 자산으로 연결","PPT / AI","","","","","후보","A","","","","","","","","","","","","",""
"P012","GEO 콘텐츠 개선","콘텐츠","2026","","콘텐츠 제작을 검색 성과 개선까지 연결","GA4 / AI / Web","","","","","YES","A","","","","","","","","","","","","",""
"P013","PetID CES 2027 혁신상 홍보영상","영상","26.08","100%","특허 기반 비문 인식 기술을 반려동물 평생 ID로 확장해 설명한 3분 제품 스토리","GPT / Seedance / Capcut / Figma / Aftereffect","https://drive.google.com/file/d/17tZGrBe9AFOH69RxWi-PdOsJxPVOKzCJ/view?usp=drivesdk","","","","YES","S","https://drive.google.com/file/d/1aIvrWdbYAlrdymDV-kKZ2DcYy_R61fFW/view?usp=drive_link","","","","","","","","","","","",""
"P014","HeartID CES 2027 혁신상 홍보영상","영상","2026.09","100%","특허 기반 비문 인식 기술을 반려동물 평생 ID로 확장해 설명한 3분 제품 스토리","GPT / Seedance / Capcut / Figma / Aftereffect","https://drive.google.com/file/d/1GA-SwFYmdNZTQF-RBGPcIYTOSsHc0pbi/view?usp=drive_link","","","","YES","S","https://drive.google.com/file/d/1k815Yj5HNKpHeCPrWgow68FoG10-nci_/view?usp=drive_link","","","","","","","","","","","",""
"","농협은행 통합인증센터 구축 제안서","제안서","2025.09","30%","제안서 작업 중 자료조사 및 앞단 설계 및 제작","GPT / Word / PowerPoint","","","https://drive.google.com/file/d/1ivWx4HNq9DZMdIXF9y0ciQqIpZDW5qrA/view?usp=drive_link","","YES","B","https://drive.google.com/file/d/1ivWx4HNq9DZMdIXF9y0ciQqIpZDW5qrA/view?usp=drive_link","","","","","","","","","","","",""
